chemical1	chemical2	textmining
CIDs91757967	CIDs45485183	179
CIDs91757967	CIDs46862685	351
CIDs91757967	CIDs50909794	208
CIDs91757967	CIDs05318517	195
CIDs91757967	CIDs53346508	154
CIDs91757967	CIDs05488970	216
CIDs91757967	CIDs56962337	151
CIDs91757967	CIDs06323416	230
CIDs91757967	CIDs00657045	219
CIDs91757967	CIDs70696937	157
CIDs91757967	CIDs72706082	171
CIDs91757967	CIDs73224197	218
CIDs91757967	CIDs73441667	156
CIDs91757967	CIDs00077793	230
CIDs91757967	CIDs00079340	208
CIDs91757967	CIDs85325315	196
CIDs91757967	CIDs00008861	150
CIDs91757967	CIDs09547921	150
CIDs91757967	CIDs09549207	155
CIDs91757967	CIDs00095890	156
CIDs91757966	CIDs10198055	217
CIDs91757966	CIDs00010408	151
CIDs91757966	CIDs10545784	212
CIDs91757966	CIDs00011084	182
CIDs91757966	CIDs11743399	156
CIDs91757966	CIDs00011820	268
CIDs91757966	CIDs11957394	176
CIDs91757966	CIDs12342815	274
CIDs91757966	CIDs01247796	284
CIDs91757966	CIDs12515770	505
CIDs91757966	CIDs00012635	172
CIDs91757966	CIDs00012838	260
CIDs91757966	CIDs00136090	214
CIDs91757966	CIDs00015641	210
CIDs91757966	CIDs15991574	151
CIDs91757966	CIDs18219930	156
CIDs91757966	CIDs18222353	157
CIDs91757966	CIDs20252591	272
CIDs91757966	CIDs00203442	151
CIDs91757966	CIDs23372533	681
CIDs91757966	CIDs23627195	176
CIDs91757966	CIDs23627197	215
CIDs91757966	CIDs00239360	456
CIDs91757966	CIDs00023958	174
CIDs91757966	CIDs24857286	227
CIDs91757966	CIDs00024918	155
CIDs91757966	CIDs25009560	357
CIDs91757966	CIDs25108498	273
CIDs91757966	CIDs25271687	218
CIDs91757966	CIDs00026613	152
CIDs91757966	CIDs02727655	172
CIDs91757966	CIDs02800962	294
CIDs91757966	CIDs03018744	281
CIDs91757966	CIDs03035866	169
CIDs91757966	CIDs00439717	218
CIDs91757966	CIDs44145333	498
CIDs91757966	CIDs44189332	296
CIDs91757966	CIDs00445784	171
CIDs91757966	CIDs44608614	495
CIDs91757966	CIDs00446241	178
CIDs91757966	CIDs00446242	151
CIDs91757966	CIDs44624989	196
CIDs91757966	CIDs00447412	375
CIDs91757966	CIDs00448365	189
CIDs91757966	CIDs46878593	155
CIDs91757966	CIDs46942380	284
CIDs91757966	CIDs49835943	386
CIDs91757966	CIDs51035429	155
CIDs91757966	CIDs51055653	284
CIDs91757966	CIDs00522427	284
CIDs91757966	CIDs00522682	414
CIDs91757966	CIDs00522832	201
CIDs91757966	CIDs05282316	152
CIDs91757966	CIDs05288016	164
CIDs91757966	CIDs53631972	286
CIDs91757966	CIDs56832521	162
CIDs91757966	CIDs57339127	272
CIDs91757966	CIDs57345916	259
CIDs91757966	CIDs60156291	281
CIDs91757966	CIDs06328187	271
CIDs91757966	CIDs06365228	283
CIDs91757966	CIDs06435831	230
CIDs91757966	CIDs06436064	501
CIDs91757966	CIDs00006505	357
CIDs91757966	CIDs00006537	173
CIDs91757966	CIDs00065637	236
CIDs91757966	CIDs00656909	217
CIDs91757966	CIDs67263232	443
CIDs91757966	CIDs00067473	153
CIDs91757966	CIDs00067803	240
CIDs91757966	CIDs06913622	388
CIDs91757966	CIDs70679464	216
CIDs91757966	CIDs71112644	271
CIDs91757966	CIDs71620694	196
CIDs91757966	CIDs72201026	688
CIDs91757966	CIDs00007269	236
CIDs91757966	CIDs72706087	151
CIDs91757966	CIDs00007301	170
CIDs91757966	CIDs73441664	272
CIDs91757966	CIDs00073697	151
CIDs91757966	CIDs00075103	259
CIDs91757966	CIDs76936798	404
CIDs91757966	CIDs00077571	216
CIDs91757966	CIDs00078386	403
CIDs91757966	CIDs00078966	175
CIDs91757966	CIDs00079616	321
CIDs91757966	CIDs00008210	297
CIDs91757966	CIDs00008330	208
CIDs91757966	CIDs90471593	384
CIDs91757966	CIDs90684367	208
CIDs91757966	CIDs91666459	152
CIDs91757966	CIDs00092516	165
CIDs91757966	CIDs00009266	154
CIDs91757966	CIDs00009275	178
CIDs91757966	CIDs00097436	195
CIDs91757966	CIDs09827862	151
CIDs91757966	CIDs09994897	194
CIDs91757965	CIDs00102466	151
CIDs91757965	CIDs00010748	230
CIDs91757965	CIDs00011101	238
CIDs91757965	CIDs00011288	588
CIDs91757965	CIDs00012001	284
CIDs91757965	CIDs18220659	208
CIDs91757965	CIDs19816752	283
CIDs91757965	CIDs24748294	160
CIDs91757965	CIDs00270783	170
CIDs91757965	CIDs00332962	212
CIDs91757965	CIDs44468130	153
CIDs91757965	CIDs00446009	240
CIDs91757965	CIDs46207938	156
CIDs91757965	CIDs46870048	260
CIDs91757965	CIDs00471583	208
CIDs91757965	CIDs05287982	241
CIDs91757965	CIDs05480431	153
CIDs91757965	CIDs00000643	151
CIDs91757965	CIDs06479523	195
CIDs91757965	CIDs00065087	272
CIDs91757965	CIDs06992929	231
CIDs91757965	CIDs06993104	218
CIDs91757965	CIDs07019104	179
CIDs91757965	CIDs00703907	274
CIDs91757965	CIDs71563401	230
CIDs91757965	CIDs00073026	388
CIDs91757965	CIDs00736532	189
CIDs91757965	CIDs00008434	217
CIDs91757964	CIDs00101543	258
CIDs91757964	CIDs00001049	230
CIDs91757964	CIDs11234718	220
CIDs91757964	CIDs11656602	260
CIDs91757964	CIDs00122083	173
CIDs91757964	CIDs00012378	174
CIDs91757964	CIDs00152199	178
CIDs91757964	CIDs00158571	180
CIDs91757964	CIDs16058626	217
CIDs91757964	CIDs00016561	204
CIDs91757964	CIDs00168533	191
CIDs91757964	CIDs00168952	240
CIDs91757964	CIDs17787981	152
CIDs91757964	CIDs18218177	152
CIDs91757964	CIDs00018609	151
CIDs91757964	CIDs18654591	215
CIDs91757964	CIDs20254879	217
CIDs91757964	CIDs00203361	528
CIDs91757964	CIDs00205225	154
CIDs91757964	CIDs00208657	151
CIDs91757964	CIDs22395834	150
CIDs91757964	CIDs22875012	151
CIDs91757964	CIDs24764446	217
CIDs91757964	CIDs03036628	157
CIDs91757964	CIDs00030819	150
CIDs91757964	CIDs03246323	154
CIDs91757964	CIDs00003634	156
CIDs91757964	CIDs00444758	195
CIDs91757964	CIDs00448302	272
CIDs91757964	CIDs00448610	230
CIDs91757964	CIDs00449162	230
CIDs91757964	CIDs45100487	193
CIDs91757964	CIDs46173422	274
CIDs91757964	CIDs46173745	150
CIDs91757964	CIDs46174175	197
CIDs91757964	CIDs46869194	181
CIDs91757964	CIDs51417250	327
CIDs91757964	CIDs53686937	171
CIDs91757964	CIDs05487087	150
CIDs91757964	CIDs05495866	287
CIDs91757964	CIDs05496642	258
CIDs91757964	CIDs56684138	151
CIDs91757964	CIDs56835760	295
CIDs91757964	CIDs57336498	157
CIDs91757964	CIDs57411964	218
CIDs91757964	CIDs00606322	151
CIDs91757964	CIDs00000614	176
CIDs91757964	CIDs00637866	190
CIDs91757964	CIDs06449989	151
CIDs91757964	CIDs00064817	217
CIDs91757964	CIDs06540277	190
CIDs91757964	CIDs66575071	314
CIDs91757964	CIDs00672548	176
CIDs91757964	CIDs00070517	340
CIDs91757964	CIDs00070590	153
CIDs91757964	CIDs70680221	320
CIDs91757964	CIDs71581433	171
CIDs91757964	CIDs71748828	208
CIDs91757964	CIDs00007259	157
CIDs91757964	CIDs00072684	214
CIDs91757964	CIDs72715985	155
CIDs91757964	CIDs72725808	157
CIDs91757964	CIDs00073614	218
CIDs91757964	CIDs73819542	230
CIDs91757964	CIDs00007510	150
CIDs91757964	CIDs00075478	571
CIDs91757964	CIDs00077056	388
CIDs91757964	CIDs77232224	272
CIDs91757964	CIDs00078569	330
CIDs91757964	CIDs00008027	567
CIDs91757964	CIDs00008339	172
CIDs91757964	CIDs86278051	291
CIDs91757964	CIDs86625176	574
CIDs91757964	CIDs00009074	173
CIDs91757964	CIDs90784646	195
CIDs91757964	CIDs90899821	358
CIDs91757964	CIDs91666456	208
CIDs91757964	CIDs09836977	330
CIDs91757964	CIDs09898809	217
CIDs91757964	CIDs00009999	151
CIDs91757962	CIDs10111591	284
CIDs91757962	CIDs00104947	166
CIDs91757962	CIDs00108168	192
CIDs91757962	CIDs10991686	213
CIDs91757962	CIDs00011123	172
CIDs91757962	CIDs11217238	315
CIDs91757962	CIDs11352275	174
CIDs91757962	CIDs11600682	233
CIDs91757962	CIDs01201496	341
CIDs91757962	CIDs00123218	311
CIDs91757962	CIDs00123591	152
CIDs91757962	CIDs00012901	220
CIDs91757962	CIDs00012994	173
CIDs91757962	CIDs00013220	189
CIDs91757962	CIDs00015295	172
CIDs91757962	CIDs16129578	215
CIDs91757962	CIDs16196522	177
CIDs91757962	CIDs16745346	329
CIDs91757962	CIDs00016826	175
CIDs91757962	CIDs17750498	230
CIDs91757962	CIDs17750511	208
CIDs91757962	CIDs18224593	213
CIDs91757962	CIDs18231996	209
CIDs91757962	CIDs00192197	151
CIDs91757962	CIDs00199005	153
CIDs91757962	CIDs00199618	298
CIDs91757962	CIDs00023953	212
CIDs91757962	CIDs24798098	356
CIDs91757962	CIDs24864081	155
CIDs91757962	CIDs00002497	258
CIDs91757962	CIDs02747968	344
CIDs91757962	CIDs02762741	261
CIDs91757962	CIDs03035460	284
CIDs91757962	CIDs00405386	360
CIDs91757962	CIDs00427890	151
CIDs91757962	CIDs44194561	297
CIDs91757962	CIDs00445988	176
CIDs91757962	CIDs00449108	388
CIDs91757962	CIDs45271453	173
CIDs91757962	CIDs46240887	171
CIDs91757962	CIDs46936623	296
CIDs91757962	CIDs49769053	189
CIDs91757962	CIDs49769065	153
CIDs91757962	CIDs49769068	173
CIDs91757962	CIDs00050202	230
CIDs91757962	CIDs05280888	209
CIDs91757962	CIDs05280939	258
CIDs91757962	CIDs05282982	284
CIDs91757962	CIDs05283137	171
CIDs91757962	CIDs05289270	153
CIDs91757962	CIDs52914837	230
CIDs91757962	CIDs05327067	230
CIDs91757962	CIDs05362511	291
CIDs91757962	CIDs53627789	218
CIDs91757962	CIDs05363992	172
CIDs91757962	CIDs05377254	284
CIDs91757962	CIDs05461123	210
CIDs91757962	CIDs05462310	152
CIDs91757962	CIDs00005596	299
CIDs91757962	CIDs56587975	217
CIDs91757962	CIDs56844248	466
CIDs91757962	CIDs57383473	233
CIDs91757962	CIDs60138174	271
CIDs91757962	CIDs06098948	188
CIDs91757962	CIDs00061848	180
CIDs91757962	CIDs00061909	177
CIDs91757962	CIDs06325087	411
CIDs91757962	CIDs06326954	190
CIDs91757962	CIDs06330318	328
CIDs91757962	CIDs00006331	194
CIDs91757962	CIDs06421126	480
CIDs91757962	CIDs06432049	294
CIDs91757962	CIDs00066227	164
CIDs91757962	CIDs00066417	154
CIDs91757962	CIDs00067224	211
CIDs91757962	CIDs67261671	196
CIDs91757962	CIDs00069275	154
CIDs91757962	CIDs70680237	259
CIDs91757962	CIDs71677784	152
CIDs91757962	CIDs72708496	176
CIDs91757962	CIDs00073620	202
CIDs91757962	CIDs00073979	151
CIDs91757962	CIDs00073980	230
CIDs91757962	CIDs00007482	155
CIDs91757962	CIDs00077732	324
CIDs91757962	CIDs00078401	151
CIDs91757962	CIDs00008195	170
CIDs91757962	CIDs00819691	268
CIDs91757962	CIDs00082801	328
CIDs91757962	CIDs00083422	230
CIDs91757962	CIDs86580387	174
CIDs91757962	CIDs00091688	171
CIDs91757962	CIDs00091746	151
CIDs91757962	CIDs09543032	185
CIDs91757962	CIDs09547900	187
CIDs91757962	CIDs09548696	233
CIDs91757962	CIDs09570093	155
CIDs91757962	CIDs09576738	156
CIDs91757962	CIDs09811444	268
CIDs91757960	CIDs00101438	381
CIDs91757960	CIDs00104746	174
CIDs91757960	CIDs00104778	177
CIDs91757960	CIDs00010487	385
CIDs91757960	CIDs10898715	505
CIDs91757960	CIDs00010947	236
CIDs91757960	CIDs00114850	165
CIDs91757960	CIDs00123809	208
CIDs91757960	CIDs00124656	273
CIDs91757960	CIDs00014823	171
CIDs91757960	CIDs00015531	208
CIDs91757960	CIDs16220120	216
CIDs91757960	CIDs00167508	185
CIDs91757960	CIDs00169315	172
CIDs91757960	CIDs17750141	463
CIDs91757960	CIDs18222283	174
CIDs91757960	CIDs18411391	174
CIDs91757960	CIDs18439261	273
CIDs91757960	CIDs00020504	505
CIDs91757960	CIDs00231555	410
CIDs91757960	CIDs23617234	151
CIDs91757960	CIDs00002372	195
CIDs91757960	CIDs00244172	352
CIDs91757960	CIDs24801857	186
CIDs91757960	CIDs02763173	475
CIDs91757960	CIDs02773478	440
CIDs91757960	CIDs03285024	168
CIDs91757960	CIDs00040973	208
CIDs91757960	CIDs42608442	743
CIDs91757960	CIDs00042616	195
CIDs91757960	CIDs00430956	157
CIDs91757960	CIDs44119670	388
CIDs91757960	CIDs44201386	185
CIDs91757960	CIDs44237388	359
CIDs91757960	CIDs44452442	208
CIDs91757960	CIDs44604932	208
CIDs91757960	CIDs00447664	178
CIDs91757960	CIDs00449578	170
CIDs91757960	CIDs46835555	173
CIDs91757960	CIDs00004730	230
CIDs91757960	CIDs50904905	182
CIDs91757960	CIDs51055215	764
CIDs91757960	CIDs00005152	154
CIDs91757960	CIDs05281040	156
CIDs91757960	CIDs05311101	167
CIDs91757960	CIDs53628808	235
CIDs91757960	CIDs54592409	155
CIDs91757960	CIDs00054886	231
CIDs91757960	CIDs05497010	175
CIDs91757960	CIDs56684140	740
CIDs91757960	CIDs56841950	259
CIDs91757960	CIDs00005832	210
CIDs91757960	CIDs06399090	468
CIDs91757960	CIDs06540478	270
CIDs91757960	CIDs00067940	153
CIDs91757960	CIDs00068861	262
CIDs91757960	CIDs00068873	217
CIDs91757960	CIDs06992868	525
CIDs91757960	CIDs07099156	269
CIDs91757960	CIDs71463587	154
CIDs91757960	CIDs71464639	168
CIDs91757960	CIDs00071682	386
CIDs91757960	CIDs00736017	343
CIDs91757960	CIDs00082188	388
CIDs91757960	CIDs00086371	456
CIDs91757960	CIDs86580344	207
CIDs91757960	CIDs00091466	150
CIDs91757960	CIDs00091668	299
CIDs91757960	CIDs00093192	150
CIDs91757960	CIDs00093200	153
CIDs91757960	CIDs00009324	273
CIDs91757960	CIDs09805797	208
CIDs91757960	CIDs00009880	156
CIDs91757960	CIDs09903786	151
CIDs91757958	CIDs00001090	297
CIDs91757958	CIDs00000533	388
CIDs91757958	CIDs06326970	174
CIDs91757956	CIDs06435110	456
CIDs91757951	CIDs05381226	172
CIDs91757951	CIDs06994957	528
CIDs91757950	CIDs10103176	388
CIDs91757950	CIDs10129879	260
CIDs91757950	CIDs10192618	173
CIDs91757950	CIDs10313037	150
CIDs91757950	CIDs10680096	174
CIDs91757950	CIDs01091373	194
CIDs91757950	CIDs00010958	213
CIDs91757950	CIDs00110068	413
CIDs91757950	CIDs11070561	218
CIDs91757950	CIDs11220682	207
CIDs91757950	CIDs11684611	172
CIDs91757950	CIDs00116871	196
CIDs91757950	CIDs11791393	173
CIDs91757950	CIDs11824292	154
CIDs91757950	CIDs00118939	191
CIDs91757950	CIDs00119478	152
CIDs91757950	CIDs00119485	208
CIDs91757950	CIDs11957482	206
CIDs91757950	CIDs00120477	210
CIDs91757950	CIDs00120572	191
CIDs91757950	CIDs00122018	310
CIDs91757950	CIDs00122152	156
CIDs91757950	CIDs00122674	208
CIDs91757950	CIDs12732683	177
CIDs91757950	CIDs00130271	176
CIDs91757950	CIDs00132669	210
CIDs91757950	CIDs00013611	171
CIDs91757950	CIDs00136603	163
CIDs91757950	CIDs13925348	155
CIDs91757950	CIDs00142763	200
CIDs91757950	CIDs00143174	342
CIDs91757950	CIDs00143265	358
CIDs91757950	CIDs01485383	174
CIDs91757950	CIDs00015295	174
CIDs91757950	CIDs00159923	208
CIDs91757950	CIDs00016002	300
CIDs91757950	CIDs16040283	230
CIDs91757950	CIDs00016175	180
CIDs91757950	CIDs00016263	150
CIDs91757950	CIDs00016407	204
CIDs91757950	CIDs00016566	207
CIDs91757950	CIDs00171040	164
CIDs91757950	CIDs00017748	178
CIDs91757950	CIDs17750846	177
CIDs91757950	CIDs17750848	151
CIDs91757950	CIDs17750849	208
CIDs91757950	CIDs17750851	194
CIDs91757950	CIDs17750852	176
CIDs91757950	CIDs17750853	172
CIDs91757950	CIDs17750864	161
CIDs91757950	CIDs00019176	210
CIDs91757950	CIDs00197025	151
CIDs91757950	CIDs00197049	179
CIDs91757950	CIDs00199976	179
CIDs91757950	CIDs00199981	171
CIDs91757950	CIDs00199982	179
CIDs91757950	CIDs00199983	174
CIDs91757950	CIDs00199984	174
CIDs91757950	CIDs00200099	195
CIDs91757950	CIDs20057355	156
CIDs91757950	CIDs00202082	183
CIDs91757950	CIDs00202734	178
CIDs91757950	CIDs00203732	195
CIDs91757950	CIDs00203734	208
CIDs91757950	CIDs00203747	174
CIDs91757950	CIDs00203748	195
CIDs91757950	CIDs00203749	191
CIDs91757950	CIDs00203750	209
CIDs91757950	CIDs00020806	271
CIDs91757950	CIDs00210170	182
CIDs91757950	CIDs00211033	195
CIDs91757950	CIDs21125239	156
CIDs91757950	CIDs00021540	180
CIDs91757950	CIDs00217957	176
CIDs91757950	CIDs00022883	299
CIDs91757950	CIDs23644584	170
CIDs91757950	CIDs00023835	205
CIDs91757950	CIDs00023912	176
CIDs91757950	CIDs00002438	153
CIDs91757950	CIDs00024552	213
CIDs91757950	CIDs00024729	314
CIDs91757950	CIDs24850183	151
CIDs91757950	CIDs25271551	281
CIDs91757950	CIDs00259581	206
CIDs91757950	CIDs02734031	152
CIDs91757950	CIDs02734895	160
CIDs91757950	CIDs02756862	176
CIDs91757950	CIDs02757009	209
CIDs91757950	CIDs02773292	174
CIDs91757950	CIDs02773294	180
CIDs91757950	CIDs02773331	170
CIDs91757950	CIDs02783243	153
CIDs91757950	CIDs02783246	173
CIDs91757950	CIDs02783247	180
CIDs91757950	CIDs00298173	167
CIDs91757950	CIDs00300057	202
CIDs91757950	CIDs00302681	172
CIDs91757950	CIDs03031712	175
CIDs91757950	CIDs03040667	206
CIDs91757950	CIDs03054050	208
CIDs91757950	CIDs03054051	208
CIDs91757950	CIDs03057158	195
CIDs91757950	CIDs03060324	208
CIDs91757950	CIDs03060431	209
CIDs91757950	CIDs03060465	208
CIDs91757950	CIDs03060467	210
CIDs91757950	CIDs03060468	208
CIDs91757950	CIDs03060470	174
CIDs91757950	CIDs03060541	190
CIDs91757950	CIDs03060560	202
CIDs91757950	CIDs03060562	208
CIDs91757950	CIDs03060563	206
CIDs91757950	CIDs03060566	154
CIDs91757950	CIDs03060567	210
CIDs91757950	CIDs03060569	175
CIDs91757950	CIDs03060572	209
CIDs91757950	CIDs03060574	180
CIDs91757950	CIDs03060577	156
CIDs91757950	CIDs03060580	193
CIDs91757950	CIDs03060581	210
CIDs91757950	CIDs03060585	209
CIDs91757950	CIDs03060586	205
CIDs91757950	CIDs03060587	208
CIDs91757950	CIDs03060704	209
CIDs91757950	CIDs03060705	210
CIDs91757950	CIDs03060710	206
CIDs91757950	CIDs03060711	192
CIDs91757950	CIDs03060713	207
CIDs91757950	CIDs03060716	210
CIDs91757950	CIDs03060720	174
CIDs91757950	CIDs03060721	208
CIDs91757950	CIDs03060723	206
CIDs91757950	CIDs03060727	210
CIDs91757950	CIDs03060728	208
CIDs91757950	CIDs03060799	208
CIDs91757950	CIDs03060823	187
CIDs91757950	CIDs03080790	178
CIDs91757950	CIDs00313701	440
CIDs91757950	CIDs33779314	192
CIDs91757950	CIDs00351770	273
CIDs91757950	CIDs00037459	173
CIDs91757950	CIDs03854043	215
CIDs91757950	CIDs03904026	171
CIDs91757950	CIDs00040191	310
CIDs91757950	CIDs00429922	196
CIDs91757950	CIDs04369080	171
CIDs91757950	CIDs44129621	171
CIDs91757950	CIDs44160268	345
CIDs91757950	CIDs44468169	150
CIDs91757950	CIDs00044478	194
CIDs91757950	CIDs00445156	171
CIDs91757950	CIDs00445408	168
CIDs91757950	CIDs44558575	230
CIDs91757950	CIDs00446845	215
CIDs91757950	CIDs00446958	151
CIDs91757950	CIDs00448500	151
CIDs91757950	CIDs44968179	171
CIDs91757950	CIDs00456282	206
CIDs91757950	CIDs00046869	177
CIDs91757950	CIDs04738271	162
CIDs91757950	CIDs00480141	230
CIDs91757950	CIDs49831063	216
CIDs91757950	CIDs05005718	172
CIDs91757950	CIDs51035438	152
CIDs91757950	CIDs00522690	280
CIDs91757950	CIDs52940057	172
CIDs91757950	CIDs53245660	173
CIDs91757950	CIDs53488436	151
CIDs91757950	CIDs05371578	154
CIDs91757950	CIDs00054108	177
CIDs91757950	CIDs00054109	205
CIDs91757950	CIDs00054110	197
CIDs91757950	CIDs00054111	208
CIDs91757950	CIDs00054113	206
CIDs91757950	CIDs05464164	299
CIDs91757950	CIDs54754549	387
CIDs91757950	CIDs00055466	170
CIDs91757950	CIDs00564216	156
CIDs91757950	CIDs56643080	150
CIDs91757950	CIDs56835773	208
CIDs91757950	CIDs56947167	156
CIDs91757950	CIDs57339414	208
CIDs91757950	CIDs58395283	272
CIDs91757950	CIDs00005859	210
CIDs91757950	CIDs00000587	359
CIDs91757950	CIDs00005876	208
CIDs91757950	CIDs05904182	201
CIDs91757950	CIDs59229792	175
CIDs91757950	CIDs00593690	177
CIDs91757950	CIDs00599528	195
CIDs91757950	CIDs60147017	179
CIDs91757950	CIDs60150365	172
CIDs91757950	CIDs00006233	150
CIDs91757950	CIDs00062724	319
CIDs91757950	CIDs00063117	177
CIDs91757950	CIDs00063340	150
CIDs91757950	CIDs00633432	218
CIDs91757950	CIDs00063367	208
CIDs91757950	CIDs00063368	155
CIDs91757950	CIDs00063370	179
CIDs91757950	CIDs00063371	191
CIDs91757950	CIDs00063373	174
CIDs91757950	CIDs06337927	210
CIDs91757950	CIDs00063704	203
CIDs91757950	CIDs00063705	157
CIDs91757950	CIDs00063707	154
CIDs91757950	CIDs00063709	154
CIDs91757950	CIDs00064018	204
CIDs91757950	CIDs00064078	196
CIDs91757950	CIDs06435965	171
CIDs91757950	CIDs06435969	180
CIDs91757950	CIDs06439476	218
CIDs91757950	CIDs06539125	260
CIDs91757950	CIDs06540292	152
CIDs91757950	CIDs00006617	170
CIDs91757950	CIDs00667486	236
CIDs91757950	CIDs67999919	299
CIDs91757950	CIDs00688022	176
CIDs91757950	CIDs00691156	178
CIDs91757950	CIDs00693324	178
CIDs91757950	CIDs00070088	274
CIDs91757950	CIDs07017350	210
CIDs91757950	CIDs70679347	171
CIDs91757950	CIDs70680558	178
CIDs91757950	CIDs70698415	299
CIDs91757950	CIDs00071164	190
CIDs91757950	CIDs00000712	197
CIDs91757950	CIDs71447317	208
CIDs91757950	CIDs71720914	345
CIDs91757950	CIDs72710584	171
CIDs91757950	CIDs73254835	154
CIDs91757950	CIDs00735736	210
CIDs91757950	CIDs00074016	157
CIDs91757950	CIDs00074190	150
CIDs91757950	CIDs77068211	151
CIDs91757950	CIDs77620531	344
CIDs91757950	CIDs77620538	152
CIDs91757950	CIDs77620546	156
CIDs91757950	CIDs00078240	157
CIDs91757950	CIDs00079205	171
CIDs91757950	CIDs00817620	175
CIDs91757950	CIDs00817630	177
CIDs91757950	CIDs00818549	172
CIDs91757950	CIDs00083723	176
CIDs91757950	CIDs00008427	171
CIDs91757950	CIDs00085147	195
CIDs91757950	CIDs00853569	155
CIDs91757950	CIDs86346631	330
CIDs91757950	CIDs89905551	505
CIDs91757950	CIDs90684376	344
CIDs91757950	CIDs91666471	272
CIDs91757950	CIDs91667428	172
CIDs91757950	CIDs91667430	174
CIDs91757950	CIDs91667932	230
CIDs91757950	CIDs91757947	151
CIDs91757950	CIDs00000923	160
CIDs91757950	CIDs00093460	152
CIDs91757950	CIDs09546672	182
CIDs91757950	CIDs00095691	190
CIDs91757950	CIDs00095985	209
CIDs91757950	CIDs00095987	208
CIDs91757950	CIDs00095988	210
CIDs91757950	CIDs00096688	193
CIDs91757950	CIDs00009801	172
CIDs91757949	CIDs00107895	265
CIDs91757949	CIDs11406590	388
CIDs91757949	CIDs11469229	177
CIDs91757949	CIDs00119434	157
CIDs91757949	CIDs00001216	151
CIDs91757949	CIDs00122180	171
CIDs91757949	CIDs00012876	173
CIDs91757949	CIDs00156015	346
CIDs91757949	CIDs00000157	195
CIDs91757949	CIDs18648446	154
CIDs91757949	CIDs21081761	292
CIDs91757949	CIDs00024751	155
CIDs91757949	CIDs24978566	273
CIDs91757949	CIDs25134265	153
CIDs91757949	CIDs25246321	196
CIDs91757949	CIDs02773807	191
CIDs91757949	CIDs00280973	296
CIDs91757949	CIDs00002821	208
CIDs91757949	CIDs00294520	443
CIDs91757949	CIDs03364574	195
CIDs91757949	CIDs03699841	295
CIDs91757949	CIDs00003765	197
CIDs91757949	CIDs03846558	180
CIDs91757949	CIDs00443368	155
CIDs91757949	CIDs44462702	209
CIDs91757949	CIDs46870010	215
CIDs91757949	CIDs00005275	153
CIDs91757949	CIDs05287476	258
CIDs91757949	CIDs54390797	412
CIDs91757949	CIDs00005707	151
CIDs91757949	CIDs00000617	150
CIDs91757949	CIDs00006335	235
CIDs91757949	CIDs00068309	230
CIDs91757949	CIDs70680601	150
CIDs91757949	CIDs00007099	170
CIDs91757949	CIDs71299346	153
CIDs91757949	CIDs75593439	595
CIDs91757948	CIDs10245508	349
CIDs91757948	CIDs00108496	151
CIDs91757948	CIDs11840907	177
CIDs91757948	CIDs00001228	218
CIDs91757948	CIDs00126094	270
CIDs91757948	CIDs00012720	230
CIDs91757948	CIDs00130188	385
CIDs91757948	CIDs00133143	404
CIDs91757948	CIDs14086997	217
CIDs91757948	CIDs00015627	208
CIDs91757948	CIDs00160139	175
CIDs91757948	CIDs00160464	877
CIDs91757948	CIDs00161645	152
CIDs91757948	CIDs16219771	177
CIDs91757948	CIDs16222640	152
CIDs91757948	CIDs00001645	153
CIDs91757948	CIDs00016757	475
CIDs91757948	CIDs18666812	326
CIDs91757948	CIDs00000187	508
CIDs91757948	CIDs00205489	169
CIDs91757948	CIDs00021071	411
CIDs91757948	CIDs00002131	210
CIDs91757948	CIDs21888155	172
CIDs91757948	CIDs22811380	151
CIDs91757948	CIDs23646782	209
CIDs91757948	CIDs23661728	154
CIDs91757948	CIDs24728612	345
CIDs91757948	CIDs00002551	715
CIDs91757948	CIDs00003324	215
CIDs91757948	CIDs00361994	172
CIDs91757948	CIDs00440101	201
CIDs91757948	CIDs44142782	274
CIDs91757948	CIDs00447272	296
CIDs91757948	CIDs00447594	272
CIDs91757948	CIDs00447775	151
CIDs91757948	CIDs00004641	248
CIDs91757948	CIDs50915251	174
CIDs91757948	CIDs53354790	576
CIDs91757948	CIDs05359662	174
CIDs91757948	CIDs05359750	180
CIDs91757948	CIDs00538565	385
CIDs91757948	CIDs54492039	272
CIDs91757948	CIDs57177164	340
CIDs91757948	CIDs05748733	271
CIDs91757948	CIDs00005792	386
CIDs91757948	CIDs60138181	215
CIDs91757948	CIDs00006303	258
CIDs91757948	CIDs06440352	227
CIDs91757948	CIDs00667467	150
CIDs91757948	CIDs00068329	173
CIDs91757948	CIDs06914627	204
CIDs91757948	CIDs06918726	216
CIDs91757948	CIDs70699438	314
CIDs91757948	CIDs00007092	310
CIDs91757948	CIDs71260796	330
CIDs91757948	CIDs71300849	230
CIDs91757948	CIDs00071345	313
CIDs91757948	CIDs72551607	763
CIDs91757948	CIDs00770000	298
CIDs91757948	CIDs77232208	208
CIDs91757948	CIDs77232210	259
CIDs91757948	CIDs00008653	180
CIDs91757948	CIDs00088958	273
CIDs91757948	CIDs90213515	388
CIDs91757948	CIDs09547930	176
CIDs91757948	CIDs09818512	273
CIDs91757948	CIDs00099730	209
CIDs91757947	CIDs00010026	284
CIDs91757947	CIDs00011187	217
CIDs91757947	CIDs11254352	262
CIDs91757947	CIDs11684611	171
CIDs91757947	CIDs00011931	340
