chemical1	chemical2	textmining
CIDs91758408	CIDs00072758	155
CIDs91758408	CIDs00736379	271
CIDs91758408	CIDs73819544	197
CIDs91758408	CIDs00076044	153
CIDs91758408	CIDs00076959	217
CIDs91758408	CIDs00792933	179
CIDs91758408	CIDs00082755	164
CIDs91758408	CIDs91623326	262
CIDs91758408	CIDs91663129	295
CIDs91758408	CIDs91758406	768
CIDs91758408	CIDs91758407	747
CIDs91758408	CIDs09800555	352
CIDs91758408	CIDs09988748	274
CIDs91758407	CIDs10357196	211
CIDs91758407	CIDs00011279	196
CIDs91758407	CIDs11745080	324
CIDs91758407	CIDs00123740	323
CIDs91758407	CIDs12443340	310
CIDs91758407	CIDs12634722	505
CIDs91758407	CIDs12725190	505
CIDs91758407	CIDs00013588	166
CIDs91758407	CIDs00151956	151
CIDs91758407	CIDs00161853	388
CIDs91758407	CIDs16214776	176
CIDs91758407	CIDs16220126	456
CIDs91758407	CIDs01715107	353
CIDs91758407	CIDs17756656	151
CIDs91758407	CIDs17972095	388
CIDs91758407	CIDs18173006	150
CIDs91758407	CIDs18221235	505
CIDs91758407	CIDs18221991	281
CIDs91758407	CIDs18223806	428
CIDs91758407	CIDs18223995	466
CIDs91758407	CIDs18224309	388
CIDs91758407	CIDs19826720	356
CIDs91758407	CIDs25245780	505
CIDs91758407	CIDs00280756	352
CIDs91758407	CIDs00003447	210
CIDs91758407	CIDs39058169	273
CIDs91758407	CIDs00004413	177
CIDs91758407	CIDs05494424	154
CIDs91758407	CIDs05496972	214
CIDs91758407	CIDs57326580	171
CIDs91758407	CIDs00060857	157
CIDs91758407	CIDs00061151	274
CIDs91758407	CIDs00006292	167
CIDs91758407	CIDs06441852	343
CIDs91758407	CIDs00066264	185
CIDs91758407	CIDs70685955	462
CIDs91758407	CIDs00072462	195
CIDs91758407	CIDs72941933	594
CIDs91758407	CIDs00736379	343
CIDs91758407	CIDs73819544	271
CIDs91758407	CIDs00076044	212
CIDs91758407	CIDs00007933	172
CIDs91758407	CIDs00082755	231
CIDs91758407	CIDs00087031	358
CIDs91758407	CIDs91623326	340
CIDs91758407	CIDs91663129	386
CIDs91758407	CIDs91758406	768
CIDs91758407	CIDs91758408	747
CIDs91758407	CIDs09548674	232
CIDs91758406	CIDs10357196	172
CIDs91758406	CIDs00107706	179
CIDs91758406	CIDs00011279	154
CIDs91758406	CIDs11417954	154
CIDs91758406	CIDs00114365	280
CIDs91758406	CIDs11745080	272
CIDs91758406	CIDs00123740	272
CIDs91758406	CIDs12443340	270
CIDs91758406	CIDs12634722	438
CIDs91758406	CIDs12725190	454
CIDs91758406	CIDs00155815	206
CIDs91758406	CIDs16040259	259
CIDs91758406	CIDs00161656	170
CIDs91758406	CIDs00161853	344
CIDs91758406	CIDs16214776	150
CIDs91758406	CIDs16218345	330
CIDs91758406	CIDs16220126	455
CIDs91758406	CIDs16222096	194
CIDs91758406	CIDs16760714	357
CIDs91758406	CIDs01715107	298
CIDs91758406	CIDs00194166	299
CIDs91758406	CIDs19826720	299
CIDs91758406	CIDs19922802	154
CIDs91758406	CIDs00002134	172
CIDs91758406	CIDs21873680	343
CIDs91758406	CIDs24840378	214
CIDs91758406	CIDs24982201	384
CIDs91758406	CIDs25245780	440
CIDs91758406	CIDs00280756	297
CIDs91758406	CIDs00028221	157
CIDs91758406	CIDs00003447	281
CIDs91758406	CIDs39058169	218
CIDs91758406	CIDs00004413	257
CIDs91758406	CIDs00444510	330
CIDs91758406	CIDs44593847	175
CIDs91758406	CIDs44608013	190
CIDs91758406	CIDs46209426	155
CIDs91758406	CIDs46245309	292
CIDs91758406	CIDs46869194	215
CIDs91758406	CIDs05253209	208
CIDs91758406	CIDs05282800	190
CIDs91758406	CIDs05283547	151
CIDs91758406	CIDs53378053	230
CIDs91758406	CIDs00548023	271
CIDs91758406	CIDs56951872	281
CIDs91758406	CIDs60168927	356
CIDs91758406	CIDs00061151	230
CIDs91758406	CIDs06441852	284
CIDs91758406	CIDs00066264	152
CIDs91758406	CIDs70685955	388
CIDs91758406	CIDs71187181	151
CIDs91758406	CIDs71464590	218
CIDs91758406	CIDs71768347	272
CIDs91758406	CIDs00072138	326
CIDs91758406	CIDs00072462	271
CIDs91758406	CIDs00736379	287
CIDs91758406	CIDs73819544	216
CIDs91758406	CIDs00073864	270
CIDs91758406	CIDs00076044	172
CIDs91758406	CIDs78673861	230
CIDs91758406	CIDs00082755	195
CIDs91758406	CIDs91623326	282
CIDs91758406	CIDs91663129	326
CIDs91758406	CIDs91758407	768
CIDs91758406	CIDs91758408	768
CIDs91758406	CIDs09548674	196
CIDs91758405	CIDs00115254	155
CIDs91758405	CIDs00011684	316
CIDs91758405	CIDs11865464	274
CIDs91758405	CIDs00012180	157
CIDs91758405	CIDs00133310	386
CIDs91758405	CIDs01361334	198
CIDs91758405	CIDs00137276	173
CIDs91758405	CIDs00137426	404
CIDs91758405	CIDs00014978	271
CIDs91758405	CIDs00002119	151
CIDs91758405	CIDs22832089	354
CIDs91758405	CIDs00002519	256
CIDs91758405	CIDs00002802	400
CIDs91758405	CIDs00003016	329
CIDs91758405	CIDs03787294	505
CIDs91758405	CIDs44237239	466
CIDs91758405	CIDs44472888	316
CIDs91758405	CIDs44472889	388
CIDs91758405	CIDs54137360	386
CIDs91758405	CIDs00006089	421
CIDs91758405	CIDs00065958	256
CIDs91758405	CIDs70679348	290
CIDs91758405	CIDs71306456	151
CIDs91758405	CIDs00007284	171
CIDs91758405	CIDs00007879	172
CIDs91758405	CIDs87113624	530
CIDs91758405	CIDs00000880	892
CIDs91758405	CIDs91666467	154
CIDs91758405	CIDs09840816	216
CIDs91758405	CIDs09905162	386
CIDs91758404	CIDs10373084	711
CIDs91758404	CIDs00117435	258
CIDs91758404	CIDs00121994	385
CIDs91758404	CIDs00123329	174
CIDs91758404	CIDs00123808	218
CIDs91758404	CIDs00127568	388
CIDs91758404	CIDs00131448	264
CIDs91758404	CIDs00134669	296
CIDs91758404	CIDs00014090	162
CIDs91758404	CIDs15942880	155
CIDs91758404	CIDs18221807	230
CIDs91758404	CIDs00195196	259
CIDs91758404	CIDs22717409	507
CIDs91758404	CIDs00237228	459
CIDs91758404	CIDs00000271	255
CIDs91758404	CIDs00000283	160
CIDs91758404	CIDs03031345	292
CIDs91758404	CIDs00003803	388
CIDs91758404	CIDs00441074	273
CIDs91758404	CIDs44472888	310
CIDs91758404	CIDs00004823	260
CIDs91758404	CIDs05270634	230
CIDs91758404	CIDs05278688	193
CIDs91758404	CIDs05327109	388
CIDs91758404	CIDs54751670	660
CIDs91758404	CIDs00005957	160
CIDs91758404	CIDs06400657	386
CIDs91758404	CIDs00068108	195
CIDs91758404	CIDs00071329	170
CIDs91758404	CIDs00008150	170
CIDs91758404	CIDs00009824	174
CIDs91758403	CIDs00100148	210
CIDs91758403	CIDs00001003	230
CIDs91758403	CIDs00105048	153
CIDs91758403	CIDs10640670	157
CIDs91758403	CIDs00111051	209
CIDs91758403	CIDs00116482	163
CIDs91758403	CIDs00001174	152
CIDs91758403	CIDs11966311	358
CIDs91758403	CIDs12116239	272
CIDs91758403	CIDs12251007	171
