dataset_id	concept_id_1	concept_id_2	concept_count	concept_prevalence	chi_square_t	chi_square_p	expected_count	ln_ratio	rel_freq_1	rel_freq_2
1	8516	989486	151	8.433724e-05	1.052452e+01	1.178011e-03	1.948762e+02	-2.550845e-01	1.413871e-03	4.621977e-02
1	8516	911065	152	8.489576e-05	3.357956e+01	6.840790e-09	9.675211e+01	4.517284e-01	1.423234e-03	9.371147e-02
1	8516	938045	153	8.545428e-05	1.725452e+01	3.269182e-05	1.106505e+02	3.240610e-01	1.432598e-03	8.247978e-02
1	8516	950664	154	8.601281e-05	4.915330e+01	2.367192e-12	8.965377e+01	5.409973e-01	1.441961e-03	1.024617e-01
1	8516	929519	159	8.880543e-05	9.269635e+01	6.096584e-22	7.706765e+01	7.242206e-01	1.488778e-03	1.230650e-01
1	8516	970282	159	8.880543e-05	5.082141e+00	2.417351e-02	1.337350e+02	1.730437e-01	1.488778e-03	7.091882e-02
1	8516	915673	163	9.103953e-05	4.493642e-02	8.321210e-01	1.603985e+02	1.608863e-02	1.526232e-03	6.061733e-02
1	8516	915679	169	9.439068e-05	4.509720e+01	1.874931e-11	1.029557e+02	4.955999e-01	1.582412e-03	9.791425e-02
1	8516	986148	169	9.439068e-05	5.790005e-01	4.467043e-01	1.596827e+02	5.670976e-02	1.582412e-03	6.313037e-02
1	8516	941473	174	9.718330e-05	1.199729e+02	6.413090e-28	7.939399e+01	7.846326e-01	1.629229e-03	1.307288e-01
1	8516	967564	180	1.005345e-04	1.290251e+00	2.560016e-01	1.658267e+02	8.201373e-02	1.685409e-03	6.474820e-02
1	8516	976780	182	1.016515e-04	1.340091e+02	5.438582e-31	8.100454e+01	8.095015e-01	1.704136e-03	1.340206e-01
1	8516	992673	184	1.027686e-04	1.621270e+02	3.881042e-37	7.623255e+01	8.811472e-01	1.722863e-03	1.439750e-01
1	8516	916011	187	1.044441e-04	1.744211e+00	1.866061e-01	1.703004e+02	9.354458e-02	1.750953e-03	6.549912e-02
1	8516	902807	188	1.050027e-04	6.511402e+01	7.068722e-16	1.070715e+02	5.629448e-01	1.760316e-03	1.047354e-01
1	8516	951553	193	1.077953e-04	2.049648e+02	1.723752e-46	7.378691e+01	9.615089e-01	1.807133e-03	1.560226e-01
1	8516	961168	201	1.122635e-04	1.875403e+01	1.487089e-05	1.496616e+02	2.949285e-01	1.882040e-03	8.011160e-02
1	8516	923115	208	1.161731e-04	2.445430e+00	1.178676e-01	2.310240e+02	-1.049835e-01	1.947584e-03	5.370514e-02
1	8516	951536	208	1.161731e-04	5.932795e+00	1.486166e-02	2.449224e+02	-1.634034e-01	1.947584e-03	5.065757e-02
