dataset_id	concept_id	concept_count	concept_prevalence
1	8507	753863	0.4210511323809742
1	8515	24020	0.013415764137238464
1	8516	106799	0.05964988318455165
1	8522	331	0.0001848716873199805
1	8527	418405	0.23368954179189258
1	8532	1037034	0.5792091401455851
1	8551	10	0.000005585247351056813
1	8552	32109	0.01793367071950832
1	8557	346	0.00019324955834656572
1	8570	232	0.00012957773854451805
1	8657	1906	0.0010645481451114285
1	22274	41	0.00002289951413933293
1	22281	1323	0.0007389282245448163
1	22288	37	0.000020665415198910205
1	22340	1602	0.0008947566256393013
1	22350	631	0.00035242910785168485
1	22426	8	0.0000044681978808454505
1	22492	305	0.00017035004420723278
1	22557	41	0.00002289951413933293
1	22666	137	0.00007651788870947834
1	22839	41	0.00002289951413933293
1	22856	56	0.00003127738516591815
1	22871	41	0.00002289951413933293
1	22955	102	0.00005696952298077949
1	23034	1301	0.0007266406803724913
1	23164	317	0.00017705234102850096
1	23220	2188	0.0012220521204112306
1	23245	81	0.00004524050354356018
1	23247	18	0.000010053445231902263
1	23304	5	0.0000027926236755284064
1	23325	8783	0.004905522748433198
1	23358	24	0.00001340459364253635
1	23567	138	0.00007707641344458401
1	23653	538	0.00030048630748685654
1	23731	148	0.00008266166079564082
1	23789	25	0.000013963118377642031
1	23798	86	0.00004803312721908859
1	23799	46	0.000025692137814861337
1	23806	19	0.000010611969967007944
1	23808	63	0.00003518705831165792
1	23865	75	0.000041889355132926096
1	23868	482	0.0002692089223209384
1	23986	1086	0.0006065578623247698
1	23988	152	0.00008489575973606355
1	24134	32659	0.018240859323816444
1	24230	512	0.00028596466437410883
1	24602	204	0.00011393904596155898
1	24609	3452	0.0019280273855848116
1	24612	19	0.000010611969967007944
1	24660	3223	0.0018001252212456107
1	24818	2773	0.001548789090448054
1	24884	20	0.000011170494702113626
1	24897	32	0.000017872791523381802
1	24909	185	0.00010332707599455103
1	24970	936	0.0005227791520589177
1	24974	305	0.00017035004420723278
1	24977	874	0.00048815061848236544
1	24978	351	0.00019604218202209412
1	25068	52	0.000029043286225495426
1	25189	449	0.00025077760606245086
1	25211	63	0.00003518705831165792
1	25297	37199	0.020776561621196236
1	25518	3555	0.001985555433300697
1	25568	37	0.000020665415198910205
1	25572	858	0.00047921422272067453
1	25582	115	0.00006423034453715335
1	25748	158	0.00008824690814669764
1	25780	640	0.000357455830467636
1	25844	1277	0.0007132360867299549
1	26052	198	0.00011058789755092489
1	26060	28	0.000015638692582959074
1	26069	13	0.0000072608215563738565
1	26286	14	0.000007819346291479537
1	26361	40	0.00002234098940422725
1	26378	819	0.00045743175805155296
1	26441	122	0.00006814001768289311
1	26459	705	0.0003937599382495053
1	26514	17	0.000009494920496796581
1	26638	570	0.0003183590990102383
1	26662	3324	0.0018565362194912845
1	26711	723	0.00040381338348140754
1	26719	11	0.000006143772086162494
1	26727	2642	0.00147562235014921
1	26823	542	0.00030272040642727923
1	26908	13	0.0000072608215563738565
1	26935	70	0.00003909673145739769
1	26942	1056	0.0005898021202715994
1	27017	11	0.000006143772086162494
1	27321	955	0.0005333911220259256
1	27411	22	0.000012287544172324988
1	27419	92	0.000051384275629722674
1	27438	14	0.000007819346291479537
1	27516	121	0.00006758149294778744
1	27587	1419	0.0007925465991149617
1	27674	26259	0.014666301019140085
1	27835	105	0.00005864509718609653
1	27918	1253	0.0006998314930874186
1	28060	11881	0.006635832377790599
1	28083	89	0.00004970870142440563
1	28109	300	0.00016755742053170438
1	28115	50	0.000027926236755284062
1	28127	59	0.0000329529593712352
1	28179	777	0.00043397371917711433
1	28356	12	0.000006702296821268175
1	28385	735	0.0004105156803026757
1	28396	351	0.00019604218202209412
1	28403	370	0.00020665415198910207
1	28457	3858	0.0021547884280377185
1	28461	125	0.00006981559188821015
1	28462	18	0.000010053445231902263
1	28714	335	0.0001871057862604032
1	28716	25	0.000013963118377642031
1	28779	466	0.00026027252655924746
1	28898	16	0.000008936395761690901
1	28974	994	0.0005551735866950472
1	29056	1661	0.0009277095850105365
1	29735	4087	0.002282690592376919
1	29783	25	0.000013963118377642031
1	30061	48	0.0000268091872850727
1	30133	1722	0.0009617795938519832
1	30163	353	0.0001971592314923055
1	30234	2966	0.0016565843643234505
1	30284	422	0.0002356974382145975
1	30333	39	0.00002178246466912157
1	30356	33	0.00001843131625848748
1	30361	401	0.00022396841877737818
1	30365	423	0.00023625596294970318
1	30437	12397	0.006924031141105131
1	30441	667	0.0003725359983154894
1	30515	186	0.00010388560072965672
1	30679	348	0.00019436660781677707
1	30683	2087	0.0011656411221655568
1	30753	8466	0.004728470407404698
